sold,price,name,size
True,1516554 ,18×ù3602,97.48
True,1549292 ,18×ù3601,97.57
True,1513881 ,17×ù3701,97.65
True,1712702 ,17×ù3604,120.82
False,1791800 ,17×ù3603,120.91
True,1541423 ,17×ù3602,97.74
False,1808163 ,18×ù3704,120.7
True,1703327 ,18×ù3703,120.61
True,1511321 ,18×ù3702,97.48
True,1544054 ,18×ù3701,97.57
True,1508639 ,17×ù3801,97.65
True,1706216 ,17×ù3704,120.82
True,1486622 ,17×ù3901,97.65

